Name,Rank,Tuition and fees,Undergrad Enrollment,Cluster
University of Alabama--Huntsville,197,20622.0,6013.0,default_value
University of Colorado--Denver,197,29334.0,14036.0,default_value
University of Nevada--Reno,197,21052.0,17770.0,default_value
California State University--Fullerton,202,17596.0,33144.0,default_value
Central Michigan University,202,23670.0,20498.0,default_value
Louisiana Tech University,202,25851.0,10682.0,default_value
South Dakota State University,202,11403.0,11007.0,default_value
University of Alaska--Fairbanks,202,22469.0,7610.0,default_value
University of North Carolina--Charlotte,202,20193.0,22732.0,default_value
University of North Dakota,202,18899.0,11577.0,default_value
University of South Dakota,202,11688.0,7435.0,default_value
East Carolina University,210,22904.0,23039.0,default_value
Montana State University,210,23042.0,13707.0,default_value
Old Dominion University,210,27028.0,20101.0,default_value
University of Missouri--Kansas City,210,22714.0,11253.0,default_value
Ashland University,214,20392.0,3716.0,default_value
Dallas Baptist University,214,26180.0,3315.0,default_value
Northern Illinois University,214,23799.0,15027.0,default_value
Nova Southeastern University,214,27660.0,4641.0,default_value
Southern Illinois University--Carbondale,214,27130.0,13031.0,default_value
University of Montana,214,24562.0,8732.0,default_value
Benedictine University,220,32170.0,3347.0,default_value
California State University--Fresno,220,17209.0,21482.0,default_value
Gardner-Webb University,220,29850.0,2615.0,default_value
New Mexico State University,220,21234.0,12526.0,default_value
Shenandoah University,220,31322.0,2010.0,default_value
Tennessee Technological University,220,24800.0,9801.0,default_value
University of Massachusetts--Boston,220,32023.0,12949.0,default_value
University of Massachusetts--Dartmouth,220,19270.0,7295.0,default_value
University of Missouri--St. Louis,220,26277.0,13569.0,default_value
University of North Carolina--Greensboro,220,21595.0,15951.0,default_value
University of Southern Mississippi,220,16094.0,11840.0,default_value
Utah State University,220,19772.0,25259.0,default_value
